"State","fips","full","pop_2015","Brewery_id","Brewery_name","City","Beer_name","Beer_ID","ABV","IBU","Style","Ounces"
"AK","02","Alaska",738432,103,"King Street Brewing Company","Anchorage","Amber Ale",2436,0.051,15,"American Amber / Red Ale",12
"AK","02","Alaska",738432,103,"King Street Brewing Company","Anchorage","King Street Blonde Ale",1665,0.049,7,"American Blonde Ale",12
"AK","02","Alaska",738432,494,"Broken Tooth Brewing Company","Anchorage","Chugach Session Ale",919,0.048,35,"Cream Ale",12
"AK","02","Alaska",738432,224,"Midnight Sun Brewing Company","Anchorage","Snowshoe White Ale",587,0.048,12,"Witbier",12
"AK","02","Alaska",738432,103,"King Street Brewing Company","Anchorage","King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12
"AK","02","Alaska",738432,271,"Alaskan Brewing Company","Juneau","Freeride APA",1921,0.053,40,"American Pale Ale (APA)",12
"AK","02","Alaska",738432,459,"Kenai River Brewing Company","Soldotna","Skilak Scottish Ale (2011)",348,0.058,138,"Scottish Ale",12
"AK","02","Alaska",738432,103,"King Street Brewing Company","Anchorage","King Street Pilsner",1706,0.055,35,"Czech Pilsener",12
"AK","02","Alaska",738432,224,"Midnight Sun Brewing Company","Anchorage","Pleasure Town",2093,0.063,61,"American IPA",12
"AK","02","Alaska",738432,224,"Midnight Sun Brewing Company","Anchorage","Sockeye Red IPA",434,0.057,70,"American IPA",12
"AK","02","Alaska",738432,459,"Kenai River Brewing Company","Soldotna","Peninsula Brewers Reserve (PBR)",1187,0.05,15,"American Blonde Ale",12
"AK","02","Alaska",738432,459,"Kenai River Brewing Company","Soldotna","Sunken Island IPA",349,0.068,50,"American IPA",12
"AK","02","Alaska",738432,103,"King Street Brewing Company","Anchorage","King Street IPA",1667,0.06,70,"American IPA",12
"AK","02","Alaska",738432,271,"Alaskan Brewing Company","Juneau","Alaskan Amber",1920,0.053,18,"Altbier",12
"AK","02","Alaska",738432,224,"Midnight Sun Brewing Company","Anchorage","Kodiak Brown Ale",586,0.05,24,"American Brown Ale",12
"AK","02","Alaska",738432,454,"Denali Brewing Company","Talkeetna","Mother Ale",1159,0.056,46,"American Blonde Ale",12
"AK","02","Alaska",738432,558,"Sleeping Lady Brewing Company","Anchorage","Urban Wilderness Pale Ale",30,0.049,35,"English Pale Ale",12
"AK","02","Alaska",738432,459,"Kenai River Brewing Company","Soldotna","Skilak Scottish Ale",1193,0.058,120,"Scottish Ale",12
"AK","02","Alaska",738432,224,"Midnight Sun Brewing Company","Anchorage","Pleasure Town IPA",1814,0.063,61,"American IPA",12
"AK","02","Alaska",738432,494,"Broken Tooth Brewing Company","Anchorage","Polar Pale Ale",920,0.052,17,"American Pale Ale (APA)",12
"AK","02","Alaska",738432,454,"Denali Brewing Company","Talkeetna","Twister Creek India Pale Ale",947,0.065,71,"American IPA",12
"AK","02","Alaska",738432,494,"Broken Tooth Brewing Company","Anchorage","Fairweather IPA",648,0.061,64,"American IPA",12
"AK","02","Alaska",738432,494,"Broken Tooth Brewing Company","Anchorage","Northern Lights Amber Ale",921,0.05,15,"American Amber / Red Ale",12
"AK","02","Alaska",738432,454,"Denali Brewing Company","Talkeetna","Chuli Stout",1213,0.059,55,"Irish Dry Stout",12
"AK","02","Alaska",738432,454,"Denali Brewing Company","Talkeetna","Single Engine Red",929,0.058,46,"Irish Red Ale",12
"AL","01","Alabama",4858979,479,"Good People Brewing Company","Birmingham","Coffee Oatmeal Stout",311,0.06,54,"Oatmeal Stout",12
"AL","01","Alabama",4858979,413,"Straight to Ale","Huntsville","Lily Flagg Milk Stout",925,0.05,30,"Milk / Sweet Stout",12
"AL","01","Alabama",4858979,479,"Good People Brewing Company","Birmingham","Good People Pale Ale",1000,0.056,36,"American Pale Ale (APA)",12
"AL","01","Alabama",4858979,413,"Straight to Ale","Huntsville","Monkeynaut IPA",637,0.072,70,"American IPA",12
"AL","01","Alabama",4858979,413,"Straight to Ale","Huntsville","Sand Island Lighthouse",1410,0.051,25,"Kölsch",12
"AL","01","Alabama",4858979,479,"Good People Brewing Company","Birmingham","Snake Handler Double IPA",312,0.093,103,"American Double / Imperial IPA",12
"AL","01","Alabama",4858979,287,"Back Forty Beer Company","Gadsden","Naked Pig Pale Ale",1875,0.06,43,"American Pale Ale (APA)",12
"AL","01","Alabama",4858979,479,"Good People Brewing Company","Birmingham","Good People IPA",309,0.06,64,"American IPA",12
"AL","01","Alabama",4858979,479,"Good People Brewing Company","Birmingham","Good People American Brown Ale",308,0.058,36,"American Brown Ale",12
"AL","01","Alabama",4858979,287,"Back Forty Beer Company","Gadsden","Truck Stop Honey Brown Ale",1876,0.06,17,"English Brown Ale",12
"AR","05","Arkansas",2978204,260,"Ozark Beer Company","Rogers","Ozark American Pale Ale",1961,0.04,39,"American Pale Ale (APA)",12
"AR","05","Arkansas",2978204,140,"Core Brewing & Distilling Company","Springdale","Core Oatmeal Stout",1337,0.057,50,"Oatmeal Stout",12
"AR","05","Arkansas",2978204,140,"Core Brewing & Distilling Company","Springdale","Core ESB",1336,0.061,60,"Extra Special / Strong Bitter (ESB)",12
"AR","05","Arkansas",2978204,140,"Core Brewing & Distilling Company","Springdale","Arkansas Red",1650,0.052,40,"American Amber / Red Ale",12
"AR","05","Arkansas",2978204,140,"Core Brewing & Distilling Company","Springdale","Behemoth",2351,0.05,24,"American Pilsner",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Epicenter Amber Ale (2010)",124,0.055,20,"American Amber / Red Ale",12
"AZ","04","Arizona",6828065,549,"Prescott Brewing Company","Prescott","Ponderosa IPA",335,0.04,76,"American IPA",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Kilt Lifter Scottish-Style Ale (2009)",179,0.06,21,"Scottish Ale",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Pumpkin Porter",1616,0.051,13,"American Porter",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","American Idiot Ale (2012)",764,0.055,45,"American Pale Ale (APA)",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Kilt Lifter Scottish-Style Ale",1635,0.06,21,"",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Count Hopula (Vault Series)",2063,0.091,99,"American Double / Imperial IPA",16
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","SunSpot Golden Ale",1934,0.05,15,"American Blonde Ale",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","SanTan HefeWeizen (2010)",286,0.05,15,"Hefeweizen",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Devil’s Ale (2010)",285,0.055,45,"American Pale Ale (APA)",12
"AZ","04","Arizona",6828065,158,"Phoenix Ale Brewery","Phoenix","Camelback",2312,0.061,60,"American IPA",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","SanTan HefeWeizen",1072,0.05,15,"Hefeweizen",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Rail Slide Imperial Spiced Ale",839,0.081,17,"Herbed / Spiced Beer",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Hop Shock IPA (2010)",317,0.07,85,"American IPA",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Four Peaks Peach Ale",1585,0.042,9,"Fruit / Vegetable Beer",12
"AZ","04","Arizona",6828065,159,"Lumberyard Brewing Company","Flagstaff","Lumberyard IPA",355,0.061,13,"American IPA",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Hop Knot IPA",358,0.067,47,"American IPA",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Sunbru Kölsch",2309,0.052,17,"Kölsch",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Sex Panther",2599,0.069,20,"American Porter",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Devil’s Ale",850,0.055,45,"American Pale Ale (APA)",12
"AZ","04","Arizona",6828065,508,"Mudshark Brewing Company","Lake Havasu City","Desert Magic IPA",625,0.072,77,"American IPA",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Oktoberfest",1995,0.055,17,"Märzen / Oktoberfest",12
"AZ","04","Arizona",6828065,161,"Four Peaks Brewing Company","Tempe","Sunbru Kölsch",178,0.052,13,"Kölsch",12
"AZ","04","Arizona",6828065,508,"Mudshark Brewing Company","Lake Havasu City","Full Moon Belgian White Ale (2007)",132,0.085,40,"Witbier",12
"AZ","04","Arizona",6828065,508,"Mudshark Brewing Company","Lake Havasu City","Full Moon Belgian White Ale",768,0.085,52,"Witbier",12
"AZ","04","Arizona",6828065,252,"Barrio Brewing Company","Tucson","Barrio Tucson Blonde",1343,0.045,10,"American Blonde Ale",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","I.W.A. (2011)",1329,0.06,17,"American Pale Wheat Ale",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Mr. Pineapple",777,0.05,20,"Fruit / Vegetable Beer",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Sex Panther (2014)",852,0.069,20,"American Porter",12
"AZ","04","Arizona",6828065,537,"Grand Canyon Brewing Company","Williams","White Water Wheat",477,0.05,25,"American Pale Wheat Ale",12
"AZ","04","Arizona",6828065,537,"Grand Canyon Brewing Company","Williams","Grand Canyon Sunset Amber Ale",143,0.054,64,"American Amber / Red Ale",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Winter Warmer (Vault Series)",2073,0.095,25,"Winter Warmer",16
"AZ","04","Arizona",6828065,508,"Mudshark Brewing Company","Lake Havasu City","Dry Heat Hefeweizen (2006)",131,0.055,35,"Hefeweizen",12
"AZ","04","Arizona",6828065,508,"Mudshark Brewing Company","Lake Havasu City","Up River Light",326,0.042,42,"Light Lager",12
"AZ","04","Arizona",6828065,550,"Mogollon Brewing Company","Flagstaff","Wapiti Amber Ale",327,0.05,13,"American Amber / Red Ale",12
"AZ","04","Arizona",6828065,252,"Barrio Brewing Company","Tucson","Barrio Blanco",2005,0.06,60,"American IPA",12
"AZ","04","Arizona",6828065,159,"Lumberyard Brewing Company","Flagstaff","Lumberyard Pilsner",1153,0.053,20,"American Pilsner",12
"AZ","04","Arizona",6828065,549,"Prescott Brewing Company","Prescott","Liquid Amber Ale",64,0.046,64,"American Amber / Red Ale",12
"AZ","04","Arizona",6828065,537,"Grand Canyon Brewing Company","Williams","Black Iron India Pale Ale",142,0.046,76,"American IPA",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Hop Shock IPA",1071,0.07,85,"American IPA",12
"AZ","04","Arizona",6828065,232,"Borderlands Brewing Company","Tucson","Noche Dulce",2062,0.071,16,"American Porter",16
"AZ","04","Arizona",6828065,537,"Grand Canyon Brewing Company","Williams","Grand Canyon American Pilsner",476,0.052,16,"American Pilsner",12
"AZ","04","Arizona",6828065,159,"Lumberyard Brewing Company","Flagstaff","Knotty Pine",2311,0.054,13,"American Pale Ale (APA)",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Supermonk I.P.A.",1299,0.065,13,"Belgian IPA",12
"AZ","04","Arizona",6828065,31,"SanTan Brewing Company","Chandler","Epicenter Amber Ale",1073,0.055,20,"American Amber / Red Ale",12
"AZ","04","Arizona",6828065,233,"College Street Brewhouse and Pub","Lake Havasu City","Big Blue Van",2061,0.058,30,"Fruit / Vegetable Beer",16
"AZ","04","Arizona",6828065,159,"Lumberyard Brewing Company","Flagstaff","Lumberyard Red Ale",125,0.058,13,"American Amber / Red Ale",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Lower De Boom",1036,0.099,92,"American Barleywine",8.4
"CA","06","California",39144818,253,"Santa Cruz Mountain Brewing","Santa Cruz","Dread Brown Ale",1683,0.054,120,"American Brown Ale",12
"CA","06","California",39144818,351,"Central Coast Brewing Company","San Luis Obispo","Terrace Hill Double IPA",1647,0.095,99,"American Double / Imperial IPA",16
"CA","06","California",39144818,281,"Headlands Brewing Company","Mill Valley","Groupe G",1895,0.076,65,"Belgian IPA",16
"CA","06","California",39144818,281,"Headlands Brewing Company","Mill Valley","Hill 88 Double IPA",1893,0.088,77,"American Double / Imperial IPA",16
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Aurora ",2154,0.067,75,"American Amber / Red Ale",16
"CA","06","California",39144818,253,"Santa Cruz Mountain Brewing","Santa Cruz","Casinos IPA",1362,0.07,120,"English India Pale Ale (IPA)",16
"CA","06","California",39144818,5,"Fort Point Beer Company","San Francisco","Park",2661,0.047,19,"American Pale Wheat Ale",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Back in Black",173,0.068,65,"American Black Ale",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","He Said Baltic-Style Porter",1593,0.082,120,"Baltic Porter",12
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Point the Way IPA",1490,0.059,60,"American IPA",16
"CA","06","California",39144818,289,"Saint Archer Brewery","San Diego","Saint Archer IPA",1867,0.068,66,"American IPA",12
"CA","06","California",39144818,289,"Saint Archer Brewery","San Diego","Saint Archer Pale Ale",1865,0.052,40,"American Pale Ale (APA)",12
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Get Up Offa That Brown",991,0.055,20,"American Brown Ale",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Hop Crisis",432,0.097,94,"American Double / Imperial IPA",12
"CA","06","California",39144818,371,"Pizza Port Brewing Company","Carlsbad","PONTO S.I.P.A.",1589,0.045,138,"American IPA",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Special Edition: Allies Win The War!",531,0.085,52,"English Strong Ale",12
"CA","06","California",39144818,371,"Pizza Port Brewing Company","Carlsbad","Swami's India Pale Ale",1191,0.068,99,"American IPA",16
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Torpedo",426,0.072,65,"American IPA",16
"CA","06","California",39144818,289,"Saint Archer Brewery","San Diego","Saint Archer Blonde",1864,0.048,22,"Kölsch",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Summer Solstice (2011)",77,0.056,4,"Cream Ale",12
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Blazing World",1492,0.065,115,"American Amber / Red Ale",16
"CA","06","California",39144818,492,"Devil's Canyon Brewery","Belmont","Deadicated Amber",924,0.054,27,"American Amber / Red Ale",16
"CA","06","California",39144818,281,"Headlands Brewing Company","Mill Valley","Pt. Bonita Rustic Lager",1894,0.062,40,"American Pale Lager",16
"CA","06","California",39144818,253,"Santa Cruz Mountain Brewing","Santa Cruz","Giant DIPA",2002,0.089,88,"American Double / Imperial IPA",16
"CA","06","California",39144818,535,"Mammoth Brewing Company","Mammoth Lakes","Epic IPA",75,0.065,98,"American IPA",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Summerfest",1295,0.05,28,"Czech Pilsener",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Sierra Nevada Pale Ale",400,0.056,37,"American Pale Ale (APA)",12
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Lomaland",1495,0.055,30,"Saison / Farmhouse Ale",16
"CA","06","California",39144818,492,"Devil's Canyon Brewery","Belmont","California Sunshine Rye IPA",730,0.071,85,"American IPA",16
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Oneida",2156,0.052,50,"American Pale Ale (APA)",16
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Saison Pamplemousse",1960,0.058,35,"Saison / Farmhouse Ale",12
"CA","06","California",39144818,518,"Butcher's Brewing","Carlsbad","Mucho Aloha Hawaiian Pale Ale",668,0.056,36,"American Pale Ale (APA)",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Old Chico Crystal Wheat",1338,0.048,26,"American Pale Wheat Ale",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Boont Amber Ale (2010)",811,0.058,15,"American Amber / Red Ale",12
"CA","06","California",39144818,49,"Firestone Walker Brewing Company","Paso Robles","805 Blonde Ale",1957,0.047,138,"American Blonde Ale",12
"CA","06","California",39144818,49,"Firestone Walker Brewing Company","Paso Robles","Easy Jack",2569,0.045,47,"American IPA",12
"CA","06","California",39144818,371,"Pizza Port Brewing Company","Carlsbad","Chronic Ale",1457,0.049,138,"American Amber / Red Ale",16
"CA","06","California",39144818,5,"Fort Point Beer Company","San Francisco","KSA",2659,0.046,17,"Kölsch",12
"CA","06","California",39144818,515,"Monkey Paw Pub & Brewery","San Diego","Sweet Georgia Brown",719,0.054,138,"American Brown Ale",16
"CA","06","California",39144818,433,"Seabright Brewery","Santa Cruz","Blur India Pale Ale",1302,0.074,60,"American IPA",12
"CA","06","California",39144818,523,"Uncommon Brewers","Santa Cruz","Scotty K NA",606,0.001,99,"Low Alcohol Beer",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","21st Amendment IPA (2006)",799,0.07,70,"American IPA",12
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","City of the Sun",2159,0.075,85,"American IPA",16
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Yonder Bock",1919,0.06,120,"Maibock / Helles Bock",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Torpedo",2239,0.072,65,"American IPA",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Monk's Blood",11,0.083,35,"Belgian Dark Ale",12
"CA","06","California",39144818,49,"Firestone Walker Brewing Company","Paso Robles","Union Jack",2463,0.075,75,"American IPA",12
"CA","06","California",39144818,99,"Mission Brewery","San Diego","Cortez Gold",2442,0.05,138,"Belgian Pale Ale",32
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Black House",1493,0.058,40,"American Stout",16
"CA","06","California",39144818,49,"Firestone Walker Brewing Company","Paso Robles","805",1733,0.047,20,"American Blonde Ale",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","He Said Belgian-Style Tripel",1592,0.082,120,"Tripel",12
"CA","06","California",39144818,523,"Uncommon Brewers","Santa Cruz","Golden State Ale",347,0.064,108,"Belgian Pale Ale",16
"CA","06","California",39144818,449,"Mavericks Beer Company","Half Moon Bay","Pace Setter Belgian Style Wit",1236,0.037,21,"Witbier",12
"CA","06","California",39144818,37,"Figueroa Mountain Brewing Company","Buellton","Czech Yo Self",2590,0.055,45,"Czech Pilsener",12
"CA","06","California",39144818,351,"Central Coast Brewing Company","San Luis Obispo","Chai Ale",1649,0.051,15,"Herbed / Spiced Beer",16
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Booming Rollers",2157,0.068,75,"American IPA",16
"CA","06","California",39144818,210,"Modern Times Beer","San Diego","Fortunate Islands",1494,0.047,46,"American Pale Wheat Ale",16
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Better Weather IPA",1641,0.094,92,"American IPA",16
"CA","06","California",39144818,334,"David's Ale Works","Diamond Springs","Sprocket Pale Ale (2006)",1734,0.05,94,"American Pale Ale (APA)",12
"CA","06","California",39144818,79,"Speakasy Ales & Lagers","San Francisco","Baby Daddy Session IPA",2486,0.047,35,"American IPA",12
"CA","06","California",39144818,4,"Mike Hess Brewing Company","San Diego","Claritas",2662,0.058,28,"Kölsch",16
"CA","06","California",39144818,4,"Mike Hess Brewing Company","San Diego","Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
"CA","06","California",39144818,492,"Devil's Canyon Brewery","Belmont","Kaleidoscope Collaboration 2012",731,0.04,138,"American Black Ale",16
"CA","06","California",39144818,492,"Devil's Canyon Brewery","Belmont","Full Boar Scotch Ale",647,0.074,12,"Scotch Ale / Wee Heavy",16
"CA","06","California",39144818,113,"Black Market Brewing Company","Temecula","Deception",2412,0.045,16,"American Blonde Ale",12
"CA","06","California",39144818,37,"Figueroa Mountain Brewing Company","Buellton","Weiss Weiss Baby",2591,0.045,108,"Kristalweizen",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Brew Free! or Die IPA",10,0.07,65,"American IPA",12
"CA","06","California",39144818,523,"Uncommon Brewers","Santa Cruz","Bacon Brown Ale",543,0.068,120,"American Brown Ale",16
"CA","06","California",39144818,35,"Ballast Point Brewing Company","San Diego","Longfin Lager",1019,0.046,108,"Munich Helles Lager",12
"CA","06","California",39144818,311,"Pine Street Brewery","San Francisco","Black Bay Milk Stout",1797,0.05,120,"Milk / Sweet Stout",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Bitter American (2011)",353,0.044,42,"American Pale Ale (APA)",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","CANfusion Rye Bock",1918,0.06,99,"Rye Beer",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","El Steinber Dark Lager",1217,0.055,25,"Vienna Lager",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Marooned On Hog Island",976,0.079,120,"American Stout",12
"CA","06","California",39144818,49,"Firestone Walker Brewing Company","Paso Robles","Pivo Pils",2462,0.053,138,"German Pilsener",12
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Nooner",2474,0.052,108,"German Pilsener",12
"CA","06","California",39144818,289,"Saint Archer Brewery","San Diego","Saint Archer White Ale",1868,0.05,15,"Witbier",12
"CA","06","California",39144818,515,"Monkey Paw Pub & Brewery","San Diego","Monkey Paw Oatmeal Pale Ale",717,0.058,120,"American Pale Ale (APA)",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Fireside Chat (2010)",321,0.079,45,"Winter Warmer",12
"CA","06","California",39144818,523,"Uncommon Brewers","Santa Cruz","Baltic Porter",346,0.078,108,"Baltic Porter",16
"CA","06","California",39144818,113,"Black Market Brewing Company","Temecula","Aftermath Pale Ale",1896,0.058,44,"American Pale Ale (APA)",12
"CA","06","California",39144818,311,"Pine Street Brewery","San Francisco","Atom Splitter Pale Ale",1437,0.05,138,"American Pale Ale (APA)",12
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Might As Well IPL",2045,0.072,75,"American Pale Lager",16
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Wolf Among Weeds IPA",1698,0.08,70,"American IPA",16
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Heal the Bay IPA",1399,0.068,65,"American IPA",16
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Summer Solstice Cerveza Crema (2009)",753,0.056,4,"Cream Ale",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Hop Ottin' IPA",1327,0.07,80,"American IPA",12
"CA","06","California",39144818,450,"TailGate Beer","San Diego","Blacktop Blonde",622,0.05,19,"American Blonde Ale",24
"CA","06","California",39144818,450,"TailGate Beer","San Diego","Blacktop Blonde",362,0.05,19,"American Blonde Ale",12
"CA","06","California",39144818,34,"The Dudes' Brewing Company","Torrance","South Bay Session IPA",2034,0.05,99,"American IPA",16
"CA","06","California",39144818,523,"Uncommon Brewers","Santa Cruz","Siamese twin",25,0.085,99,"Dubbel",16
"CA","06","California",39144818,535,"Mammoth Brewing Company","Mammoth Lakes","High Country Pilsner (Current)",511,0.042,55,"German Pilsener",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Hop Ottin' IPA (2011)",367,0.07,80,"American IPA",12
"CA","06","California",39144818,449,"Mavericks Beer Company","Half Moon Bay","Back in the Saddle Rye Pale Ale",1047,0.037,53,"American Pale Ale (APA)",12
"CA","06","California",39144818,113,"Black Market Brewing Company","Temecula","Blackmarket Rye IPA",1898,0.075,35,"American IPA",12
"CA","06","California",39144818,462,"Armstrong Brewing Company","South San Francisco","Mo's Gose",1172,0.052,10,"Gose",16
"CA","06","California",39144818,35,"Ballast Point Brewing Company","San Diego","Ballast Point Pale Ale",1401,0.052,23,"Kölsch",12
